344	1222	0
325	1222	0
312	1245	0
307	1277	0
302	1283	0
302	1301	0
295	1306	0
295	1330	0
329	1328	0
334	1294	0
339	1286	0
1439	884	0
1438	886	0
1438	907	0
1464	907	0
1465	884	0
1379	874	0
1052	1080	0
983	1358	0
1023	1324	0
1189	1432	0
1067	1397	0
1274	1529	0
1198	1449	0
1544	1658	0
1590	1589	0
1537	1605	0
1252	1366	0
1136	1323	0
1153	1371	0
1065	1293	0
1119	1103	0
1370	999	0
1426	902	0
1516	824	0
1516	846	0
1535	846	0
1535	824	0
1224	710	0
1196	675	0
1039	679	0
1036	706	0
1023	683	0
983	682	0
979	701	0
954	685	0
950	708	0
897	695	0
896	715	0
850	706	0
815	735	0
682	747	0
663	851	0
707	885	0
856	836	0
961	844	0
963	823	0
1188	800	0
2425	615	0
2406	642	0
2394	649	0
2394	668	0
2416	678	0
2435	678	0
2445	662	0
2444	615	0
